Amount,HLA,Avg_Amount
11,HLA-B27:05.csv,2.75
34,HLA-B15:05.csv,8.5
30,HLA-A34:01.csv,7.5
22,HLA-A29:01.csv,5.5
27,HLA-A30:04.csv,6.75
8,HLA-B07:05.csv,2.0
6,HLA-B14:02.csv,1.5
20,HLA-B42:01.csv,5.0
75,HLA-C03:03.csv,18.75
8,HLA-B50:01.csv,2.0
4,HLA-A26:01.csv,1.0
9,HLA-B44:10.csv,2.25
5,HLA-B39:01.csv,1.25
3,HLA-B57:01.csv,0.75
17,HLA-B35:03.csv,4.25
5,HLA-B53:01.csv,1.25
8,HLA-B49:01.csv,2.0
3,HLA-B57:03.csv,0.75
11,HLA-B27:04.csv,2.75
1,HLA-B38:01.csv,0.25
11,HLA-B40:12.csv,2.75
8,HLA-B41:02.csv,2.0
11,HLA-B58:01.csv,2.75
30,HLA-A02:07.csv,7.5
4,HLA-A66:02.csv,1.0
117,HLA-C14:03.csv,29.25
5,HLA-B39:10.csv,1.25
30,HLA-A36:01.csv,7.5
30,HLA-A02:06.csv,7.5
9,HLA-B18:01.csv,2.25
4,HLA-B48:01.csv,1.0
34,HLA-B15:32.csv,8.5
9,HLA-B44:03.csv,2.25
30,HLA-A02:03.csv,7.5
8,HLA-B78:01.csv,2.0
22,HLA-A29:02.csv,5.5
8,HLA-B55:01.csv,2.0
8,HLA-B59:01.csv,2.0
7,HLA-A25:01.csv,1.75
28,HLA-C15:02.csv,7.0
152,HLA-C08:04.csv,38.0
8,HLA-B47:03.csv,2.0
17,HLA-B35:01.csv,4.25
196,HLA-B52:01.csv,49.0
8,HLA-B47:01.csv,2.0
5,HLA-C04:03.csv,1.25
152,HLA-C08:03.csv,38.0
11,HLA-B27:02.csv,2.75
9,HLA-B44:02.csv,2.25
26,HLA-A68:01.csv,6.5
152,HLA-C08:02.csv,38.0
34,HLA-B15:11.csv,8.5
21,HLA-A11:02.csv,5.25
8,HLA-A01:02.csv,2.0
3,HLA-B57:02.csv,0.75
5,HLA-C02:10.csv,1.25
17,HLA-A31:01.csv,4.25
6,HLA-B14:01.csv,1.5
8,HLA-B56:01.csv,2.0
16,HLA-A32:01.csv,4.0
4,HLA-A66:01.csv,1.0
9,HLA-A24:02.csv,2.25
17,HLA-B37:01.csv,4.25
7,HLA-A33:03.csv,1.75
5,HLA-C18:01.csv,1.25
331,HLA-B81:01.csv,82.75
3,HLA-B51:07.csv,0.75
8,HLA-B67:01.csv,2.0
8,HLA-B13:01.csv,2.0
27,HLA-C07:04.csv,6.75
5,HLA-B39:06.csv,1.25
34,HLA-B15:03.csv,8.5
17,HLA-B35:05.csv,4.25
4,HLA-A26:03.csv,1.0
11,HLA-B58:02.csv,2.75
1,HLA-B38:02.csv,0.25
9,HLA-B18:03.csv,2.25
5,HLA-C04:01.csv,1.25
7,HLA-A33:01.csv,1.75
4,HLA-A26:02.csv,1.0
5,HLA-C16:01.csv,1.25
4,HLA-B48:03.csv,1.0
10,HLA-A03:02.csv,2.5
20,HLA-B42:02.csv,5.0
75,HLA-C03:04.csv,18.75
34,HLA-B15:10.csv,8.5
152,HLA-C08:01.csv,38.0
174,HLA-A74:01.csv,43.5
263,HLA-C12:03.csv,65.75
27,HLA-C06:02.csv,6.75
12,HLA-B08:01.csv,3.0
17,HLA-B35:08.csv,4.25
6,HLA-B14:03.csv,1.5
30,HLA-A34:02.csv,7.5
8,HLA-B41:01.csv,2.0
117,HLA-C14:02.csv,29.25
34,HLA-B15:16.csv,8.5
3,HLA-B51:02.csv,0.75
6,HLA-A80:01.csv,1.5
30,HLA-A02:01.csv,7.5
5,HLA-C01:02.csv,1.25
8,HLA-B07:04.csv,2.0
5,HLA-C02:02.csv,1.25
26,HLA-A68:02.csv,6.5
21,HLA-A11:01.csv,5.25
8,HLA-A01:01.csv,2.0
10,HLA-A03:01.csv,2.5
11,HLA-B27:03.csv,2.75
9,HLA-B44:05.csv,2.25
8,HLA-A23:01.csv,2.0
34,HLA-B15:08.csv,8.5
27,HLA-A30:01.csv,6.75
11,HLA-B40:02.csv,2.75
30,HLA-A02:02.csv,7.5
8,HLA-B82:01.csv,2.0
9,HLA-B54:01.csv,2.25
75,HLA-C03:02.csv,18.75
27,HLA-A30:02.csv,6.75
9,HLA-A24:07.csv,2.25
3,HLA-B57:04.csv,0.75
8,HLA-B55:02.csv,2.0
3,HLA-B51:08.csv,0.75
27,HLA-C07:02.csv,6.75
34,HLA-B15:18.csv,8.5
28,HLA-C15:05.csv,7.0
11,HLA-B40:06.csv,2.75
9,HLA-A24:03.csv,2.25
27,HLA-C07:01.csv,6.75
34,HLA-B15:07.csv,8.5
3,HLA-B46:01.csv,0.75
34,HLA-B15:02.csv,8.5
4,HLA-B45:01.csv,1.0
8,HLA-B13:02.csv,2.0
50,HLA-C05:01.csv,12.5
34,HLA-B15:27.csv,8.5
5,HLA-C17:01.csv,1.25
17,HLA-B35:02.csv,4.25
30,HLA-A02:05.csv,7.5
34,HLA-B15:25.csv,8.5
3,HLA-B51:01.csv,0.75
263,HLA-C12:02.csv,65.75
11,HLA-B40:01.csv,2.75
8,HLA-B07:02.csv,2.0
34,HLA-B15:01.csv,8.5
34,HLA-B15:17.csv,8.5
