cin-all,ebv-all,gs-all,msi-all
68,256,40,2056
328,236,116,5188
70,628,58,2200
130,188,200,1514
52,180,290,1586
356,472,162,1166
194,568,96,2102
246,368,148,3768
214,256,60,2382
62,320,20,940
40,244,62,1930
200,244,74,1624
260,344,68,9022
200,316,26,1370
236,248,94,670
204,240,154,1654
216,288,30,2050
236,164,106,2068
140,244,172,1116
176,116,188,2466
268,260,58,1376
186,528,234,468
324,,30,1370
72,,76,2442
116,,36,1942
430,,32,1468
46,,24,1986
304,,68,1460
120,,58,4506
180,,136,2296
112,,126,2818
514,,246,1398
370,,332,3886
178,,52,1590
228,,84,1086
96,,124,1798
218,,166,1702
278,,108,2172
216,,208,6048
128,,124,2670
140,,62,2010
256,,140,2134
80,,288,1676
244,,40,1350
212,,170,708
80,,486,2066
126,,6,1402
240,,174,940
330,,,2312
174,,,1870
194,,,1146
54,,,2468
262,,,2348
76,,,1210
116,,,1808
228,,,2790
114,,,2330
86,,,2246
358,,,1916
156,,,1398
116,,,1014
90,,,1810
368,,,
150,,,
282,,,
110,,,
354,,,
318,,,
104,,,
160,,,
70,,,
100,,,
244,,,
212,,,
206,,,
164,,,
146,,,
228,,,
144,,,
60,,,
282,,,
78,,,
182,,,
234,,,
114,,,
90,,,
144,,,
212,,,
66,,,
328,,,
216,,,
112,,,
84,,,
84,,,
114,,,
234,,,
320,,,
306,,,
182,,,
124,,,
262,,,
104,,,
386,,,
78,,,
72,,,
82,,,
392,,,
324,,,
108,,,
256,,,
276,,,
134,,,
78,,,
350,,,
206,,,
156,,,
134,,,
154,,,
138,,,
130,,,
190,,,
94,,,
222,,,
316,,,
88,,,
192,,,
126,,,
218,,,
282,,,
274,,,
412,,,
176,,,
268,,,
98,,,
152,,,
180,,,
232,,,
158,,,
